,Year,COUNTY NAME,TOTAL ARRESTS,JUVENILE POP,CRIME RATE
18,2004,Gadsden,124,11357,1.091837633177776
19,2004,Gilchrist,27,3637,0.7423700852350839
20,2004,Glades,61,2546,2.3959151610369207
21,2004,Gulf,46,2796,1.6452074391988556
22,2004,Hamilton,43,2968,1.448787061994609
23,2004,Hardee,294,7264,4.047356828193833
24,2004,Hendry,440,10868,4.048582995951417
25,2004,Hernando,1123,29279,3.835513507974999
26,2004,Highlands,684,17403,3.930356835028443
27,2004,Hillsborough,10931,275714,3.9646155073735825
28,2004,Holmes,66,4314,1.52990264255911
29,2004,Indian River,708,23883,2.9644517020474814
30,2004,Jackson,134,9927,1.3498539337161277
31,2004,Jefferson,66,2931,2.2517911975435005
32,2004,Lafayette,12,1629,0.7366482504604052
33,2004,Lake,1814,53240,3.407212622088655
34,2004,Lee,3915,102829,3.807291717317099
35,2004,Leon,1166,51772,2.2521826469906516
36,2004,Levy,408,8460,4.822695035460993
37,2004,Liberty,10,1545,0.6472491909385114
38,2004,Madison,194,4515,4.2967884828349945
39,2004,Manatee,1920,61706,3.1115288626713773
40,2004,Marion,2386,59207,4.029928893542993
41,2004,Martin,982,25985,3.779103328843564
42,2004,Miami-Dade,11169,559232,1.997203307392996
43,2004,Monroe,556,12580,4.419713831478537
44,2004,Nassau,292,15037,1.941876704129813
45,2004,Okaloosa,1309,43358,3.0190506942202133
46,2004,Okeechobee,213,9514,2.2388059701492535
47,2004,Orange,6856,251579,2.7251877143958754
48,2004,Osecola,1435,58238,2.4640269240015114
49,2004,Palm Beach,7514,264838,2.8372061411126803
50,2004,Pasco,2419,84315,2.8690031429757457
51,2004,Pinellas,7479,176288,4.242489562534035
52,2004,Polk,4243,126960,3.341997479521109
53,2004,Putnam,672,17363,3.8702989114784314
54,2004,Santa Rosa,828,35263,2.34807021523977
55,2004,Sarasota,1220,50598,2.4111624965413654
56,2004,Seminole,2867,34878,8.22008142668731
57,2004,St. Johns,265,59172,0.4478469546407084
58,2004,St. Lucie,2162,97473,2.218050126701753
59,2004,Sumter,295,8029,3.6741810935359323
60,2004,Suwannee,188,8869,2.119742924794227
61,2004,Taylor,119,4542,2.6199911933069133
62,2004,Union,59,2951,1.9993222636394443
63,2004,Volusia,4041,94906,4.257897287842708
64,2004,Wakulla,153,6238,2.452709201667201
65,2004,Walton,345,9972,3.4596871239470515
66,2004,Washington,104,4948,2.1018593371059016
0,2005,Alachua,2170,43358,5.004843396835647
1,2005,Baker,192,6569,2.922819302785812
2,2005,Bay,1623,37645,4.311329525833444
3,2005,Bradford,113,5728,1.9727653631284914
4,2005,Brevard,5345,111336,4.800783214773299
5,2005,Broward,10979,410582,2.674009089536317
6,2005,Calhoun,54,3122,1.729660474055093
7,2005,Charlotte,1062,23643,4.491815759421393
8,2005,Citrus,564,22027,2.5604939392563675
9,2005,Clay,1201,46048,2.608148019457957
10,2005,Collier,2003,62455,3.207109118565367
11,2005,Columbia,391,15243,2.5651118546217937
12,2005,Desoto,181,7836,2.3098519652884124
13,2005,Dixie,52,3121,1.6661326497917333
14,2005,Duval,6811,207906,3.275999730647504
15,2005,Escambia,2835,66455,4.266044691896772
16,2005,Flagler,508,14623,3.4739793476030907
17,2005,Franklin,25,1997,1.2518778167250877
18,2005,Gadsden,277,11318,2.4474288743594275
19,2005,Gilchrist,51,3687,1.3832384052074858
20,2005,Glades,104,2621,3.967951163677985
21,2005,Gulf,78,2810,2.775800711743772
22,2005,Hamilton,57,2936,1.9414168937329699
23,2005,Hardee,322,7211,4.465400083206212
24,2005,Hendry,405,11124,3.640776699029126
25,2005,Hernando,1242,31063,3.998325982680359
26,2005,Highlands,597,17678,3.377078855074103
27,2005,Hillsborough,11369,284233,3.999887416309859
28,2005,Holmes,51,4339,1.175386033648306
29,2005,Indian River,785,24596,3.1915758659944706
30,2005,Jackson,133,10148,1.310603074497438
31,2005,Jefferson,59,2926,2.0164046479835953
32,2005,Lafayette,9,1692,0.5319148936170213
33,2005,Lake,2123,56080,3.785663338088445
34,2005,Lee,3769,110160,3.4213870733478577
35,2005,Leon,1299,52188,2.4890779489537826
36,2005,Levy,394,8564,4.600653900046707
37,2005,Liberty,3,1625,0.1846153846153846
38,2005,Madison,116,4448,2.6079136690647484
39,2005,Manatee,1877,64021,2.9318504865590977
40,2005,Marion,2376,61218,3.8812114084092917
41,2005,Martin,1038,26338,3.941073733768699
42,2005,Miami-Dade,11258,557666,2.0187710923742888
43,2005,Monroe,343,11959,2.8681327870223265
44,2005,Nassau,281,15218,1.8464975686686818
45,2005,Okaloosa,1195,43444,2.7506675260104965
46,2005,Okeechobee,218,9592,2.272727272727273
47,2005,Orange,6898,261983,2.6329952706855027
48,2005,Osecola,1879,61397,3.0604101177581966
49,2005,Palm Beach,7066,269899,2.618016369086214
50,2005,Pasco,1773,89067,1.9906362625888376
51,2005,Pinellas,6967,175410,3.971837409497748
52,2005,Polk,4530,131731,3.438826092567429
53,2005,Putnam,683,17564,3.888635846048736
54,2005,Santa Rosa,727,37432,1.9421885018166274
55,2005,Sarasota,1219,53851,2.263653414049878
56,2005,Seminole,3425,35628,9.613225552935893
57,2005,St. Johns,175,60824,0.2877153755096672
58,2005,St. Lucie,1909,99759,1.9136118044487214
59,2005,Sumter,354,8144,4.346758349705305
60,2005,Suwannee,139,9156,1.5181301878549585
61,2005,Taylor,104,4547,2.287222344402903
62,2005,Union,38,2909,1.3062908215881746
63,2005,Volusia,3859,96509,3.998590805002642
64,2005,Wakulla,208,6419,3.2403801215142547
65,2005,Walton,194,10343,1.8756647007638017
66,2005,Washington,117,5009,2.33579556797764
