,COUNTY NAME,Year,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT,TOTAL ARRESTS,JUVENILE POP,CRIME RATE
690,Jefferson,2001,7.572204125950054,0.9587404994571118,5.023344191096633,1.5901194353963084,7.803474484256244,3.7546145494028234,2.977198697068404,0.5228013029315961,0.5320304017372421,130,2879,4.5154567558179926
691,Lafayette,2001,6.969585253456222,0.8654377880184332,4.510599078341014,1.5935483870967742,6.887557603686637,3.092165898617512,2.5013824884792633,0.4995391705069124,0.7705069124423963,7,1549,0.4519044544867657
692,Lake,2001,7.801078756016795,0.5538183183695764,4.349605707848292,2.8976547297989286,6.86525791144642,3.124876250298706,2.005393780083979,0.5312190625746765,1.019014781688458,1865,45387,4.109106131711723
693,Lee,2001,7.914624749576206,0.6250406671118646,2.5455386037910306,4.7440454786733115,7.118508244721839,3.2892929915583635,2.500779096248352,0.4047875892536087,0.7406551257683944,4001,90758,4.4084268053504925
694,Leon,2001,7.681653666146647,0.610390015600624,4.059594383775351,3.0116692667706717,7.657753510140406,3.485273010920437,2.5716380655226208,0.482402496099844,0.962433697347894,1309,50922,2.5705981697498137
695,Levy,2001,6.774825854527783,0.6206058642475296,4.407095415519197,1.7471245747610562,7.049570711161509,3.446784383606026,2.3084399805605056,0.3507208812570873,0.8556617527944274,168,8194,2.0502806931901394
696,Liberty,2001,7.222768222768222,1.0597870597870598,4.809172809172808,1.3538083538083538,10.144963144963144,3.67977067977068,2.2751842751842752,0.4176904176904177,3.7338247338247337,22,1509,1.4579191517561298
697,Madison,2001,11.179332181922856,0.8785261945883708,8.983592400690846,1.3172135866436383,10.381692573402418,3.444156591824985,2.3071387449625798,0.4283246977547496,4.156591824985608,113,4707,2.4006798385383465
698,Manatee,2001,7.53167983811425,0.6003718996964642,3.4542918865705925,3.477016051847193,7.792173699034701,3.6285651781563617,2.265005879296672,0.4580929202329842,1.3122316716344444,2079,56740,3.664081776524498
699,Marion,2001,6.857554068772367,0.678258389087703,4.0486748612623815,2.130620818422281,7.2613453659042575,3.35389761941808,2.132254551112494,0.4336393340594368,1.2269851148799336,2835,56153,5.048706213381298
700,Martin,2001,8.62840323767476,0.6481481481481481,1.9486754966887416,6.031579592837871,8.248344370860929,3.706708363993133,2.4213882756929115,0.5366077998528329,1.5623620309050772,1336,24145,5.533236694967903
701,Monroe,2001,10.247999146302423,1.0011738341692455,1.512325258777078,7.734500053356099,9.672286842386084,3.890299861274144,2.9305303596201044,0.5226763419058799,2.1709529399210328,305,13360,2.2829341317365266
702,Nassau,2001,6.8979631805718755,0.38190364277320793,3.6990795142969057,2.8169800235017632,6.564629847238543,2.9868781825303565,2.0987074030552293,0.34586760673717193,1.1061496278887584,338,14705,2.2985379122747363
703,Okaloosa,2001,6.719450303190088,0.5737542842077511,3.5179277616662272,2.6277682573161085,6.491991827049827,3.365508832059056,2.043468230951753,0.3309385710519378,0.7105852886896915,1337,42064,3.17848992012172
704,Okeechobee,2001,6.714556592765462,0.7479579929988331,4.156796966161027,1.8098016336056009,6.371791131855309,3.2186406067677953,2.2317677946324386,0.3617269544924154,0.5383605600933489,207,9189,2.252693437806073
705,Orange,2001,7.573642330486258,0.4838234415752484,3.3634963930422552,3.726322495868756,8.203562492948679,3.142951002448882,2.2709167048267527,0.5008461584406794,2.049289558736669,6615,234513,2.8207391487891935
706,Pasco,2001,7.481852567197811,0.6072348301947529,4.552450507001448,2.3221672300016096,7.1569491389023,3.2455737968775153,2.2196201512956706,0.3666505713825849,1.1628239175921455,2087,73255,2.848952289946079
707,Pinellas,2001,8.214178913003089,0.5754908119298928,4.160952692719438,3.477735408353756,7.495076397674893,3.5912127190848206,2.279225317844409,0.4491670131915383,1.1546267705946367,7099,178232,3.983010907132277
708,Polk,2001,6.661084338865333,0.5843703209733634,4.042578356002365,2.034135661889603,6.869333266227965,3.4179951432489903,2.089522755010884,0.4614542572064874,0.7569359688966619,4505,120283,3.7453339208366936
709,Putnam,2001,6.7114226869455,0.7993504435994929,3.8074302915082385,2.104641951837769,6.7393852978453745,3.1284854245880864,2.3599493029150818,0.4123098859315589,0.7787547528517109,603,17243,3.497071275300122
710,Sarasota,2001,9.01021585568345,0.4657923620296626,1.865899304871528,6.6785241887822595,8.922804153885119,3.8308895955872,2.4670869332732948,0.5693299186671544,1.916331297666957,1242,44522,2.789632091999461
711,Seminole,2001,6.708439435509044,0.39409223085642936,3.5027682399908002,2.8115789646618152,6.636070906372702,3.340238873646684,1.9142092033711744,0.27488540965023245,0.8752895562601652,2625,31811,8.25186256326428
712,Sumter,2001,6.747390737116763,0.7669602087410307,3.87426614481409,2.106164383561644,6.8263209393346385,3.4210697977821267,2.4282452707110243,0.40101108936725377,0.5006523157208089,187,8297,2.2538266843437387
713,Suwannee,2001,6.8989846842195846,0.7227671657201858,4.6819824470831195,1.4942350714162795,6.660643606952331,3.4181724315952504,2.1249354672173464,0.5663397005678885,0.5326105661676132,174,8495,2.048263684520306
